,time,mV
710,9.4609165,21.0
711,9.472719,21.0
712,9.4842893,21.0
713,9.496282899999999,21.0
714,9.5076529,21.0
715,9.519087899999999,21.0
716,9.5311047,21.0
717,9.5426596,20.7
718,9.554498299999999,20.4
719,9.5660131,20.1
720,9.5771644,19.8
721,9.5887102,19.5
722,9.5998781,19.2
723,9.6116581,18.7
724,9.6231641,18.2
725,9.6346323,17.7
726,9.6461416,17.2
727,9.6575448,17.0
728,9.668688699999999,16.5
729,9.6806053,16.0
730,9.692326,15.5
731,9.703532599999999,15.0
732,9.715418399999999,14.5
733,9.727031,13.9
734,9.738653,13.3
735,9.7505349,12.7
736,9.7621983,12.1
737,9.773646999999999,11.5
738,9.7851346,11.2
739,9.7966971,10.9
740,9.807981,10.4
741,9.819647699999999,9.9
742,9.831206,9.4
743,9.8426546,9.2
744,9.8538946,9.0
745,9.8648849,8.5
746,9.8764764,8.0
747,9.8877638,7.5
748,9.8989517,7.0
749,9.910448299999999,6.5
750,9.921874599999999,6.2
751,9.9336691,5.9
752,9.945143,5.6
753,9.9566892,5.3
754,9.968193399999999,5.0
755,9.9799081,5.0
756,9.991552299999999,5.0
757,10.003052,5.0
